,| 男性的 |,| 女性的 |,不分男女的 :,最常用於男性 = 男女,最常用於女性 = 女男,,,,,,
,,,,,,,,,,,
Sex | 性別 ,Name | 名字,Diminutive | 暱稱,Variant | 變異體,Origin | 起源,Meaning & Information | 意思和訊息,,,,,,
A,,,,,,,,,,,
女,Aaliyah,,,阿拉伯語、英語（現代）、非裔美國人（現代）,Aali 的女性形式。它因歌手 Aaliyah Haughton（1979-2001）而在英語世界流行起來，她簡稱為 Aaliyah。在她於 1994 年發行首張專輯後，以及在她於 2001 年因飛機失事英年早逝後，這個名字的知名度得到了提升。,,,,,,
女,Aaralyn,,,英語（罕見）,使用流行名字後綴 lyn 對Aaron進行女性化闡述。,,,,,,
男女,Aaren,,,Aaron的變體或女性形式。,Aaron 的變體或女性化形式。,,,,,,
男,Aaron,,,英語、法語、德語、芬蘭語、猶太語、聖經、聖經拉丁語、聖經希臘語,來自希伯來名字אַהֲרֹן（「Aharon」），很可能起源於未知的埃及。其他理論聲稱源自希伯來語，並暗示諸如“高山”或“崇高”之類的含義。在舊約中，這個名字是摩西的哥哥所用的。當他的兄弟呼籲法老將以色列人從奴隸制中解放出來時，他充當了他們的發言人。亞倫的杖創造了奇蹟和瘟疫來恐嚇法老王。離開埃及到達西乃山後，上帝任命亞倫為以色列人的第一位大祭司，並應許他的後裔將組成祭司職任。作為一個英語名字，Aaron 自新教改革以來一直在使用。這個名字由美國政治家亞倫·伯爾（Aaron Burr，1756-1836 年）命名，他因在決鬥中殺死亞歷山大·漢密爾頓而聞名。,,,,,,
女,Abbey,,"Abbi, Abbie, Abby",英語,Abigail的暱稱。,,,,,,
女,Abbi,,,英語,Abigail的暱稱。,,,,,,
女,Abbie,,,英語,Abigail的暱稱。,,,,,,
女,Abby,,,英語,Abigail的暱稱。,,,,,,
男,Abe (1),,,英語,Abraham的縮寫形式。,,,,,,
女,Abegail,"Abbey, Abby, Abbi, Abbie, Abi, Abs, Aby, Gail, Gayle","Abegail, Abigail",英語（罕見）,Abigail的變體。,,,,,,
男,Abel,,,英語、法語、西班牙語、葡萄牙語、荷蘭語、格魯吉亞語、亞美尼亞語、聖經、聖經拉丁語、聖經希臘語,來自希伯來名字 הֶבֶל (Hevel)，意思是「呼吸」。在舊約中，他是亞當和夏娃的第二個兒子，被他的兄弟該隱出於嫉妒而謀殺。在英格蘭，這個名字在中世紀開始使用，在清教徒時代很常見。,,,,,,
女,Abi,,,英語,Abigail的縮寫（通常是英國人）。,,,,,,
